,BTCUSDT,ETHUSDT,BNBUSDT,LTCUSDT,NEOUSDT,XRPUSDT,ADAUSDT,BELUSDT,XLMUSDT,BATUSDT,LINKUSDT,BANDUSDT,ONTUSDT,IOTAUSDT
1455,19196.40000000,602.01000000,31.24060000,85.53000000,18.43000000,0.64570000,0.16888000,0.99080000,0.19919000,0.24230000,14.09210000,6.22170000,0.58810000,0.35140000
1456,19393.60000000,605.49000000,31.28940000,86.09000000,18.39700000,0.64770000,0.16909000,0.99960000,0.19999000,0.24210000,14.18500000,6.27150000,0.59140000,0.35370000
1457,19175.78000000,597.92000000,31.07980000,85.13000000,18.16900000,0.63601000,0.16737000,0.99080000,0.19870000,0.24030000,14.05970000,6.22000000,0.58580000,0.34950000
1458,19259.98000000,602.39000000,31.17150000,85.64000000,18.22400000,0.64026000,0.16806000,1.01540000,0.19948000,0.24070000,14.07570000,6.19790000,0.58970000,0.34730000
1459,19439.48000000,605.99000000,31.12390000,86.53000000,18.35300000,0.65018000,0.16888000,1.02610000,0.19954000,0.24160000,14.05740000,6.21780000,0.59130000,0.34790000
1460,19381.25000000,605.58000000,31.26460000,86.62000000,18.40000000,0.64733000,0.16824000,1.04700000,0.19831000,0.24190000,14.12440000,6.22590000,0.59210000,0.34770000
1461,19499.99000000,610.62000000,31.41120000,87.79000000,18.49500000,0.65735000,0.16961000,1.05980000,0.19853000,0.24250000,14.16030000,6.26260000,0.59390000,0.35010000
1462,19695.87000000,616.66000000,31.49350000,87.65000000,18.57700000,0.66417000,0.17204000,1.03660000,0.20295000,0.24380000,14.26770000,6.23690000,0.59790000,0.35230000
1463,19565.47000000,605.63000000,31.39400000,86.37000000,18.39800000,0.65750000,0.16967000,1.02240000,0.19892000,0.24270000,14.11780000,6.18040000,0.58740000,0.34640000
1464,19605.75000000,610.93000000,31.31820000,89.78000000,18.75500000,0.66035000,0.17094000,1.02500000,0.20009000,0.24550000,14.22150000,6.18720000,0.59300000,0.35060000
1465,19680.95000000,611.07000000,31.40330000,90.14000000,18.80100000,0.65884000,0.17011000,1.05370000,0.19883000,0.24690000,14.35940000,6.26630000,0.59390000,0.35090000
1466,19419.74000000,605.14000000,31.21020000,88.25000000,18.52100000,0.65175000,0.16829000,1.04250000,0.19630000,0.24610000,14.20450000,6.15820000,0.58510000,0.34520000
1467,19354.31000000,603.59000000,31.21080000,89.01000000,18.75000000,0.64482000,0.16798000,1.04040000,0.19508000,0.24670000,14.15070000,6.16050000,0.58750000,0.34210000
1468,19483.73000000,608.44000000,31.48760000,89.06000000,18.87400000,0.65354000,0.16879000,1.07940000,0.19701000,0.24760000,14.26840000,6.23310000,0.59580000,0.34600000
